      Ministry of Earth Science

      Seismological Observatories
      Posted On: 03 JAN 2018 6:12PM by PIB Delhi


    National Centre of Seismology (NCS) maintains a National Seismological Network (NSN) of 84 seismological observatories. State-wise list of the Observatories is as below:


    LIST OF SEISMOLOGICAL OBSERVATORIES OPERATED BY NATIONAL CENTRE OF SEISMOLOGY ( NCS)

                                                   
S.No.  Name of Station       State to which belongs
7     Tisa                 Himanchal Pradesh  
                                              
                                              
                                              
8     Chandigarh           U.T                
                                              
                                              
                                              
9     Ganaur               Haryana            
                                              
                                              
                                              
10    Lodi Road            New Delhi          
                                              
                                              
                                              
11    NPL                  Delhi              
                                              
                                              
                                              
12    Jhajjar              Haryana            
                                              
                                              
                                              
13    Palwal               Haryana            
                                              
                                              
                                              
14    Jamia University     Delhi              
                                              
                                              
                                              
15    Narela               Delhi              
                                              
                                              
                                              
16    Najafgarh            Delhi              
                                              
                                              
                                              
17    Manesar              Haryana            
                                              
                                              
                                              
18    Uttarkashi           Uttrakhand         
                                              
                                              
                                              
19    Lucknow              Uttar Pradesh      
                                              
                                              
                                              
20    FarukhabadSadar      Uttar Pradesh      
                                              
                                              
                                              
21    Gorakhpur            Uttar Pradesh      
                                              
                                              
                                              
22    Banda                Uttar Pradesh      
                                              
                                              
                                              
23    Basti                Uttar Pradesh      
                                              
                                              
                                              
24    Narmdanagar          Madhya Pradesh     
                                              
                                              
                                              
25    Guna                 Madhya Pradesh     
                                              
                                              
                                              
26    Gaya                 Bihar              
                                              
                                              
                                              
27    Jamui                Bihar              
                                              
                                              
                                              
28    Sitamarhi            Bihar              
                                              
                                              
                                              
29    Jogbani              Bihar              
                                              
                                              
                                              
30    Coochbehar           West Bengal        
                                              
                                              
                                              
31    Kanker               Chattisgarh        
                                              
                                              
                                              
32    Khunti               Jharkhand          
                                              
                                              

    The estimate of epicenter parameters and magnitude of earthquake events shall be more precise with increase in number of seismological records by establishing more observatories.


    After installation of 32 new observatories, the strength of National seismological Network (NSN) shall be assessed and accordingly plan for setting of new observatories in gap area shall be planned.


