      Ministry of Textiles

      G.I. Tagged Products
      Posted On: 29 NOV 2019 3:33PM by PIB Delhi


    The Ministry of Textiles provides financial assistance for registration of handloom products under the Geographical Indications (GI) of Goods Act, 1999. GI help desks have been setup at each Weavers Service Centre to address the issues related to GI products and to promote GI in handloom clusters. So far, 65 handloom products and 6 product logos are registered under GI Act. State- wise list of handloom products is as under:

      
      
      
                                                                                  
Sl.No.  Geographical Indications                        Goods     State           
60      Guledgudd Khana                                 Handloom  Karnataka       
                                                                                  
                                                                                  
                                                                                  
61      Solapur Terry Towel                             Handloom  Maharashtra     
                                                                                  
                                                                                  
                                                                                  
62      Karvath Kati Tussar Sarees And Fabrics          Handloom  Maharashtra     
                                                                                  
                                                                                  
                                                                                  
63      Chakhesang Shawls                               Handloom  Nagaland        
                                                                                  
                                                                                  
                                                                                  
64      Salem Fabric                                    Handloom  Tamil Nadu      
                                                                                  
                                                                                  
                                                                                  
65      Warangal Durries                                Handloom  Telangana       
                                                                                  
                                                                                  
                                                
Details of GI Registered Handloom Products Logos
                                                
                                                
                                                                                                                
1                                                 Mysore Silk (Logo)                  Handloom  Karnataka       
                                                                                                                
                                                                                                                
                                                                                                                
2                                                 Muga Silk of Assam (Logo)           Handloom  Assam           
                                                                                                                
                                                                                                                
                                                                                                                
3                                                 Kullu Shawl (Logo)                  Handloom  Himachal Pradesh
                                                                                                                
                                                                                                                
                                                                                                                
4                                                 Navalgund Durries (Logo)            Handloom  Karnataka       
                                                                                                                
                                                                                                                
                                                                                                                
5                                                 Kota Doria (Logo)                   Handloom  Rajasthan       
                                                                                                                
                                                                                                                
                                                                                                                
6                                                 Banaras Brocades and Sarees (Logo)  Handloom  Uttar Pradesh   
                                                                                                                
                                                                                                                

    This information was given by the Union Minister of Textiles, Smriti Zubin Irani, in written reply in the Lok Sabha today.


    ***


    MM/ SB

    
    
    (Release ID: 1594198) Visitor Counter : 906
