      হকশেল অমসুং য়াইফ-য়ুম্বাল মন্ত্রালয়

      রিভাইস তৌবা নেস্নেল ত্যুবরক্যুলোসিস কন্ত্রোল প্রোগ্রাম
      Posted On: 15 SEP 2020 3:04PM by PIB Imphal


    লৈবাক শিনবা থুংনা ব্লোক ১৩৬০দা হৌজিক্কী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিক লৈরি। রাজ্য-রাজ্যগী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিককী লৈরিবা ব্লোকশিংগী মশিং:

                                                                        
রাজ্য-রাজ্যগী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিককী লৈরিবা ব্লোকশিংগী মশিং
                                                                        
                                                                        
                                                                                                                                                    
সিরিএল নম্বর                                                              রাজ্য                         রেপিদ মোলিক্যুলর দাইগনোস্তিক লৈবা ব্লোক মশিং
                                                                                                                                                                                                                     
অন্দমান অমসুং নিকোবার ইথৎশিং                                                                    ৫০%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
আন্ধ্র প্রদেশ                                                                                   ৭৭%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
অরুনাচল প্রদেশ                                                                                  ৫১%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
অসাম                                                                                            ৬১%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
বিহার                                                                                           ৪৭%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
চন্দিগর                                                                                         ৬২%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
ছত্তিশগর                                                                                        ৬০%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
দাদ্রা অমসুং নগর হভেলী অমসুং দামন অমসুং দ্যু                                                    ৭২%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
দিল্লী                                                                                          ৫৩%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
গোৱা                                                                                            ৬৯%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
গুজরাত                                                                                          ৬৬%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
হরিয়ানা                                                                                         ৫৭%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
হিমাচল প্রদেশ                                                                                   ৮৩%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
জম্মু অমসুং কাশ্মীর                                                                             ৮০%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
ঝারখন্দ                                                                                         ৫২%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
কর্নাতকা                                                                                        ৭২%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
কেরেলা                                                                                          ৬২%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
লদাখ                                                                                            ৬৩%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
লক্ষদ্বীপ                                                                                       ৬০%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
মধ্য প্রদেশ                                                                                     ৫৯%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
মহারাস্ত্র                                                                                      ৭৩%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
মনিপুর                                                                                          ৫৮%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
মেঘালয়                                                                                          ৬৭%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
মিজোরাম                                                                                         ৬১%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
নাগালেন্দ                                                                                       ৬২%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
ওরিশা                                                                                           ৮৩%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
পুদুচেরী                                                                                        ৭৮%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
পঞ্জাব                                                                                          ৫৮%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
রজস্থান                                                                                         ৫৭%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
সিক্কিম                                                                                         ৮৯%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
